"aaNumber","year","monthYear","sequenceInfo","uuid","flightNumber","departureStation","outDateTime","arrivalStation","inDateTime","fly","legGreater","actualBlock","groundTime","overnightDuration","eqModel","eqNumber","eqType","eqCode","fuelPerformance","departurePerformance","arrivalPerformance","position","delayCode"
"420357","2016  ","OCTOBER 2016  ","10/1/2016 22868 PHX 320","542b38f8-2029-40fd-90d9-4168603ed736","552","PHX","2016-10-01T16:37:00","SMF","10/01 18:49","2.12","2.12","2.12","","33.41","A320","N664","320","29","-200.00","-3","12","FO",""
"420357","2016  ","OCTOBER 2016  ","10/1/2016 22868 PHX 320","f74b6087-76ee-49d3-8136-2920a9d70fe9","593","SMF","2016-10-03T05:52:00","PHX","10/03 07:32","1.40","1.48","1.40","","","A321","N551","321","77","700.00","-8","-16","FO",""
"420357","2016  ","OCTOBER 2016  ","10/13/2016 23386 PHX 320","cc21f812-c051-4680-b340-eadd16971ea3","574","PHX","2016-10-13T15:11:00","TPA","10/13 21:54","3.43","3.56","3.43","","14.41","A320","N669","320","29","-300.00","-3","-16","FO",""
"420357","2016  ","OCTOBER 2016  ","10/13/2016 23386 PHX 320","efda45d1-6e21-4013-86b9-db55bc7f9e5c","814","TPA","2016-10-14T14:00:00","PHL","10/14 16:33","2.33","2.33","2.33","","13.32","A321","N558","321","77","0.00","-5","-3","FO",""
"420357","2016  ","OCTOBER 2016  ","10/13/2016 23386 PHX 320","f3a2e457-b492-4513-8114-c2aa5b0551dc","506","PHL","2016-10-15T07:03:00","PHX","10/15 08:54","0.00","","0.00","","","A321","N912","321","AA","-400.00","-2","-18","DH",""
"420357","2016  ","OCTOBER 2016  ","10/17/2016 22616 PHX 320","3b74a93d-8f01-4186-a333-2dd571f9d908","1712","PHX","2016-10-17T14:55:00","PHL","10/17 22:22","4.27","4.30","4.27","","16.03","A320","N673","320","29","-800.00","5","2","FO",""
"420357","2016  ","OCTOBER 2016  ","10/17/2016 22616 PHX 320","282e70e3-b766-4083-8ee8-19a7d0c85374","701","PHL","2016-10-18T17:22:00","LAX","10/18 20:15","5.53","5.57","5.53","","12.00","A321","N171","321","77","6700.00","87","83","FO",""
"420357","2016  ","OCTOBER 2016  ","10/17/2016 22616 PHX 320","fe201421-fc77-43d4-a36f-7133943865bc","1705","LAX","2016-10-19T09:40:00","LAS","10/19 10:50","1.10","1.24","1.10","0.50","1038","A319","N827","319","92","300.00","-5","-19","FO",""
"420357","2016  ","OCTOBER 2016  ","10/17/2016 22616 PHX 320","01718f7d-058f-4d94-aeae-6866a336c2ef","1705","LAS","2016-10-19T11:40:00","LAX","10/19 13:05","1.25","1.25","1.25","2.18","1038","A319","N827","319","92","600.00","-9","-4","FO",""
"420357","2016  ","OCTOBER 2016  ","10/17/2016 22616 PHX 320","25bfb3c3-d4d3-4c79-9510-ed5168f0b0ad","726","LAX","2016-10-19T15:23:00","PIT","10/19 22:52","4.29","4.40","4.29","","17.18","A319","N827","319","92","600.00","-2","-13","FO",""
